ax,ay,az,gx,gy,gz,d1,d2,d3,d4,target
8531,-5036,12835,587,-97,-639,456.0,413.0,596.0,603.0,0
8715,-4980,12903,612,38,-546,456.0,417.0,596.0,611.0,0
8659,-4972,12815,600,-70,-394,456.0,394.0,611.0,611.0,0
8683,-4908,12823,588,100,-303,451.0,434.0,588.0,611.0,0
8483,-4692,13103,655,52,-187,456.0,438.0,596.0,611.0,0
8459,-4820,13247,306,268,99,461.0,417.0,596.0,611.0,0
8379,-4992,13075,190,456,186,461.0,438.0,596.0,603.0,0
8327,-5156,12995,219,654,205,456.0,447.0,596.0,611.0,0
8215,-5276,12975,276,683,188,456.0,402.0,611.0,611.0,0
8263,-5240,13175,305,680,-145,456.0,417.0,588.0,611.0,0
8059,-5260,12795,260,533,-335,456.0,405.0,603.0,611.0,0
7999,-5444,13183,316,329,-410,451.0,442.0,588.0,611.0,0
8135,-5088,13155,496,103,-498,456.0,434.0,596.0,611.0,0
8039,-4692,12983,497,19,-484,447.0,461.0,588.0,603.0,0
8079,-4596,12883,461,-161,-438,456.0,421.0,588.0,611.0,0
8119,-4596,12871,577,-205,-138,461.0,451.0,588.0,611.0,0
8167,-4688,12719,639,-71,-94,456.0,451.0,596.0,611.0,0
8219,-4772,12815,427,28,-114,451.0,413.0,588.0,603.0,0
8139,-5016,12831,544,71,-246,456.0,417.0,596.0,611.0,0
8195,-5108,12907,779,108,-337,456.0,413.0,596.0,611.0,0
8095,-5196,13007,838,213,-371,456.0,409.0,596.0,618.0,0
8231,-5200,13159,788,267,-467,456.0,442.0,596.0,611.0,0
8255,-5080,13263,805,211,-467,456.0,475.0,603.0,611.0,0
8291,-4908,13491,839,214,-436,461.0,434.0,596.0,611.0,0
8075,-4592,13655,736,150,-346,456.0,430.0,588.0,611.0,0
7999,-4536,13791,439,-27,-211,456.0,398.0,611.0,611.0,0
8107,-4592,13959,98,-235,-100,456.0,442.0,596.0,611.0,0
8139,-4612,14239,-215,-482,21,451.0,442.0,596.0,611.0,0
7871,-4720,14415,-710,-858,33,456.0,417.0,596.0,611.0,0
7891,-4788,14819,-977,-1492,12,456.0,417.0,596.0,618.0,0
7899,-4868,14423,-2678,-2741,-301,456.0,456.0,581.0,611.0,0
8143,-5284,14159,-3480,-3234,-495,456.0,461.0,603.0,618.0,0
8031,-5492,13499,-3978,-3529,-699,456.0,425.0,596.0,611.0,0
8299,-5576,12955,-4071,-3918,-780,456.0,417.0,588.0,603.0,0
8419,-5700,12471,-3744,-4325,-959,461.0,394.0,588.0,611.0,0
8779,-5756,12211,-3274,-4625,-1039,456.0,434.0,596.0,618.0,0
8863,-5624,11623,-2871,-4752,-895,456.0,447.0,603.0,618.0,0
9275,-5464,11523,-2785,-4783,-760,425.0,430.0,596.0,611.0,0
9539,-5476,11083,-3091,-4393,-568,451.0,405.0,588.0,603.0,0
9739,-5704,10723,-3307,-3860,-315,536.0,442.0,603.0,611.0,0
10027,-6596,10127,-1567,-3065,-31,451.0,425.0,588.0,603.0,0
9735,-6300,10371,-1282,-2784,7,447.0,434.0,596.0,611.0,0
10035,-6208,10439,-1769,-2358,-70,475.0,413.0,596.0,618.0,0
9899,-6544,10315,-2402,-1645,-252,461.0,456.0,596.0,603.0,0
9867,-7272,10147,-2391,-1112,-636,456.0,442.0,596.0,611.0,0
